die,die_pr,die_pol,die_sub
eat all the food in vietnam / singapore / penang / taipei,eat food vienna singapore opening tapped,0.0,0.0
See the bleed of Japanese and British culture in Yokosuka,bleed japanese british culture yokosuka,0.0,0.0
New York City,new york city,0.13636363636363635,0.45454545454545453
Palenque ,palenque,0.0,0.0
psychedelic drugs,psychedelic drug,0.0,0.0
Angkor Wat,anger wat,0.0,0.0
"Depends on the person. I love the Isle of Skye, but I don't think everyone should go. It was particular to me. Others might find it crazy boring.",depends person love isle sky dont think everyone particular others might find crazy boring,-0.23333333333333334,0.7083333333333334
Some scary animals,scar animal,-0.5,1.0
"I don't, too subjective",dont subjective,0.0,0.0
Climb a mountain ,climb mountain,0.0,0.0
Great Wall of China,great wall china,0.8,0.75
Donuts on the Brighton Pier,dont brighten pier,0.0,0.0
get hit in the face ,hit face,0.0,0.0
Safari,salary,0.0,0.0
Sziget Festival,sight festival,0.0,0.0
Skydiving,skydiving,0.0,0.0
Multi day hike,multi day like,0.0,0.0
Northern lights,light,0.0,0.0
butt stuff,butt stuff,0.0,0.0
Travel to see an artist they really love,artist really love,0.5,0.6
Venice,venice,0.0,0.0
Take a trip away from cities,take trip away city,0.0,0.0
Go on a solo trip,solo trip,0.0,0.0
Sea,sea,0.0,0.0
Maldives,maladies,0.0,0.0
Golden Gate Bridge,golden gate bridge,0.3,0.5
Ha long bay,ha long bay,-0.05,0.4
African safari,african salary,0.0,0.0
Do something out of their comfort zone/challenging for example climbing sand dunes,something comfort zonechallenging example climbing sand done,0.0,0.0
Travel somewhere out of comfort zone,somewhere comfort zone,0.0,0.0
Alhambra,alhambra,0.0,0.0
grand canyon ,grand canyon,0.5,1.0
N/a,na,0.0,0.0
Isle of Staffa during puffin season,isle staff puffing season,0.0,0.0
Go to Italy,italy,0.0,0.0
Rome,rome,0.0,0.0
Rome,rome,0.0,0.0
The Perhentian Islands,perhentian island,0.0,0.0
Whatever he or she desires to see,whatever desire,0.0,0.0
Sagrada Familia,sagrada familiar,0.0,0.0
Swim with the turtles on Galapagos.,swim turtle galapagos,0.0,0.0
Visit Mount Rainier National Park,mount rapier national park,0.0,0.0
Drive Iceland's Ring Road,drive iceland ring road,0.0,0.0
Something that scares them,something scare,0.0,0.0
Southeast Asia - anywhere for the culture shock factor ,southeast asia anywhere culture shock factor,0.0,0.0
Dalmatia.,dalmatic,0.0,0.0
Arrange a trip yourself,arrange trip,0.0,0.0
Travel outside of your home country/continent,outside home countrycontinent,0.0,0.05
Eat street food in various large cities,eat street food various large city,0.10714285714285714,0.4642857142857143
Chengdu hot pot ,chengdu hot pot,0.25,0.8500000000000001
The Great Pyramids of Giza,great pyramid liza,0.8,0.75
Drink until sunrise and walk around to see the place you are wake up around you,drink sunrise walk around place wake around,0.0,0.0
Venice,venice,0.0,0.0
Rotorua,rotorua,0.0,0.0
Paris,paris,0.0,0.0
Drive to Milford Sound in New Zealand,drive guilford sound new zealand,0.2681818181818182,0.42727272727272725
"They should travel to at least two places that they have preconceptions of, one good, one bad, in order to challenge those preconceptions.",least two place preconception one good one bad order challenge preconception,-0.09999999999999996,0.5555555555555555
Machuu Pichuu,machuu fichu,0.0,0.0
Go visit Australia,australia,0.0,0.0
visit beirut,beirut,0.0,0.0
Climb Fuji and northern lights,climb full light,0.0,0.0
Tanzania ,tanzania,0.0,0.0
Visit Tokyo ,tokyo,0.0,0.0
Oregon coast,oregon coast,0.0,0.0
Snorkel,snorted,0.0,0.0
Eiffel Tower,differ tower,0.0,0.0
Angkor Wat,anger wat,0.0,0.0
*Shrugs*,shrug,0.0,0.0
Nudist resort,jurist resort,0.0,0.0
The mountains ,mountain,0.0,0.0
Grand Canyon,grand canyon,0.5,1.0
Go anywhere new,anywhere new,0.13636363636363635,0.45454545454545453
every continent,every continent,0.0,0.0
swim with whale sharks,swim whale sharp,0.0,0.0
Everyone should sit on a park bench in the middle of a foreign country and just watch the world go by. Dancing on a train in front of locals is always fun too.,everyone sit park bench middle foreign watch dancing train front local always fun,0.05833333333333333,0.10833333333333334
Spend time volunteering in another country,spend time volunteering another,0.0,0.0
Yellowstone National Park,yellowstone national park,0.0,0.0
Get lost in a foreign country,lost foreign,-0.125,0.125
Leave for a few months and stay with locals,leave month stay local,-0.2,0.1
Baby elephants,baby elephant,0.0,0.0
international first class,international first class,0.125,0.16666666666666666
Northern Lights,light,0.0,0.0
Travel,,0.0,0.0
Kruger National Park,ruler national park,0.0,0.0
Diving,diving,0.0,0.0
Tokyo,tokyo,0.0,0.0
Uzbekistan ,uzbekistan,0.0,0.0
Live in another country for a extended time,live another extended time,0.13636363636363635,0.5
Kyoto in Japan,knot japan,0.0,0.0
Walk through Paris,walk paris,0.0,0.0
"whatever place calls to them, that they can't get out of their head",whatever place call can head,0.0,0.0
Broadway show,broadway show,0.0,0.0
Whatever you’re most passionate about ,whatever your passionate,0.225,0.675
Anything they want,anything want,0.0,0.0
Japanese fish market Sushi breakfast,japanese fish market such breakfast,0.0,0.0
"Go sailing. Somewhere, anywhere. ",sailing somewhere anywhere,0.0,0.0
See the world,,0.0,0.0
Disney World,dinner,0.0,0.0
"A cute little seaside British town, like Whitby, UK",cut little seaside british town like white up,0.10416666666666667,0.5
"Catedral de Sal en Zipaquira, Colombia",cathedral de sal en zipaquira colombia,0.0,0.0
Swim with wild Dolphins in Hawaii,swim wild dolphin hawaii,0.1,0.4
Leave the town they are from,leave town,0.0,0.0
Nothing in particular. ,nothing particular,0.16666666666666666,0.3333333333333333
Take a train trip through europe without too much planning and visit the most beautiful cities (best travel experience yet) ,take train trip europe without much planning beautiful city best experience yet,0.6375,0.5
climb a mountain,climb mountain,0.0,0.0
Swim in a cenote in the Yucatan,swim denote yucatan,0.0,0.0
No idea,idea,0.0,0.0
"Vienna, Austria",vienna austria,0.0,0.0
See the ancient temples & tombs in Egypt,ancient temple tomb egypt,0.0,0.0
spend an average day in a strange country (to yours),spend average day strange,-0.1,0.27499999999999997
Nature in Ireland and Switzerland,nature ireland switzerland,0.0,0.0
Experience other climates,experience climate,-0.125,0.375
Visit Tokyo!,tokyo,0.0,0.0
Railay,railway,0.0,0.0
Evening in Santorini,evening santorini,0.0,0.0
monarch migration in Mexico,monarch migration mexico,0.0,0.0
S island New Zealand,island new zealand,0.13636363636363635,0.45454545454545453
Travel ,,0.0,0.0
"Coron, Palawan",corn palatal,0.0,0.0
Live,live,0.13636363636363635,0.5
Scuba dive a beautiful location,cuba dive beautiful location,0.85,1.0
Travel the world,,0.0,0.0
Go to australia and see the great barrier reef & the 12 apostles- before they die!,australia great barrier reef 12 apostle die,1.0,0.75
Keukenhof in bloom,keukenhof bloom,0.0,0.0
Barcelona,barcelona,0.0,0.0
See Utah's southern national parks,utah southern national park,0.0,0.0
Something  ona different continent,something on different continent,0.0,0.6
Go to Istanbul,istanbul,0.0,0.0
Nothing.,nothing,0.0,0.0
Greece,greece,0.0,0.0
Macchu Picchu,march pitch,0.0,0.0
New York City ,new york city,0.13636363636363635,0.45454545454545453
Take a night cruise,take night cruise,0.0,0.0
Motorbike through SEA ,motorbike sea,0.0,0.0
"Hike and camp in Algonquin Park, drinking with friends and watching the aurora",like camp algonquins park drinking friend watching aroma,0.0,0.0
the desert touching the ocean,desert touching ocean,0.5,0.5
"Do: Solo Travel, See: Budapest",solo budapest,0.0,0.0
İstanbul,istanbul,0.0,0.0
Denali,deal,0.0,0.0
See or hike a glacier,like glacier,0.0,0.0
Australia,australia,0.0,0.0
"Hike in Alaska, eat pasta in Italy, share a laugh with Brazilians, swim in the Mediterranean, live abroad",like alaska eat past italy share laugh brazilian swim mediterranean live abroad,0.21818181818181817,0.3
Table Montain,table contain,0.0,0.0
Have a nap by a secluded quiet beach,nap secluded quiet beach,0.0,0.3333333333333333
A doctor,doctor,0.0,0.0
Europe,europe,0.0,0.0
See a sky full of stars,sky full star,0.35,0.55
"Bruges, Belgium",brutes belgium,0.0,0.0
Grand Canyon ,grand canyon,0.5,1.0
Hey man I'm just a teenager,hey man in teenager,0.0,0.0
Everyone has to see the northern lights,everyone light,0.0,0.0
Norway,norway,0.0,0.0
Antelope Canyon,envelope canyon,0.0,0.0
Northern Lights,light,0.0,0.0
"I don't have a specific thing or place, but I think it's important to get out of your comfort zone and experience new things and cultures.",dont specific thing place think important comfort zone experience new thing culture,0.1787878787878788,0.5265151515151515
Northern Lights,light,0.0,0.0
A world wonder,wonder,0.0,0.0
Road trip the USA,road trip us,0.0,0.0
Mrauk U,rank u,0.0,0.0
Do a trek in Nepal,tree near,0.0,0.0
"Murchison Falls, Uganda",murchison fall agenda,0.0,0.0
See and erupting volcano (Mt Yasur is a good choice),erupting volcano mt your good choice,0.7,0.6000000000000001
Safari,salary,0.0,0.0
Something that they want to see,something want,0.0,0.0
Grand Canyon,grand canyon,0.5,1.0
live abroad,live abroad,0.13636363636363635,0.5
Visit a country that they were not born in,born,0.0,0.0
Faroe Islands,fare island,0.0,0.0
Croatia,croats,0.0,0.0
travel abroad,abroad,0.0,0.0
Everywhere in the world ,everywhere,0.0,0.0
Angkor Wat,anger wat,0.0,0.0
Get away from your home state/country,away home statecountry,0.0,0.0
"Go to Greenland, or Iceland. ",greenland iceland,0.0,0.0
Red Square ,red square,0.0,0.0
Vatican City ,vatican city,0.0,0.0
Kilauea Volcano,kilauea volcano,0.0,0.0
see as much of the world as possible,much possible,0.1,0.6
Smoke weed or climb a skyscraper,smoke weed climb skyscraper,0.0,0.0
A local football (soccer) derby in one of more fanatic countries of the world.,local football soccer derby one fantastic country,0.06666666666666667,0.43333333333333335
Zion NP,lion no,0.0,0.0
Antarctica or Greenland,antarctica greenland,0.0,0.0
Nothing in particular; just travel!,nothing particular,0.20833333333333331,0.3333333333333333
"Isle of Skye, Scotland",isle sky scotland,0.0,0.0
Solo travel ,solo,0.0,0.0
See the most popular places - they're the most popular for a reason ,popular place there popular reason,0.55,0.7
Lake Toba in northern Sumatra,lake to suvara,0.0,0.0
Rome,rome,0.0,0.0
"They have to see a healthy, thriving coral reef!",healthy thriving coral reef,0.625,0.5
"tropical volcanic island (Bali, Hawaii etc)",tropical volcanic island ball hawaii etc,0.0,0.0
"Visit the country you feel is most related to you. My mother is Korean, I visited Korea. My father is French, I will one day visit France as well.",feel related mother organ visited more father french one day france well,0.16666666666666666,0.3
Dive,dive,0.0,0.0
Macchu Picchu,march pitch,0.0,0.0
See wild great apes,wild great ape,0.45,0.575
Las Fallas celebration in Valencia,la fall celebration valencia,0.0,0.0
Spend a day rock climbing and a night drinking wine on the shore in Crete ,spend day rock climbing night drinking wine shore create,0.0,0.0
Himachal Pradesh,himachal trades,0.0,0.0
any hill station solo,hill station solo,0.0,0.0
Glacier National Park,glacier national park,0.0,0.0
Swim in every ocean,swim every ocean,0.0,0.0
Sunset on the equator,sunset equator,0.0,0.0
A yakitori place in Tokyo ,yakitori place tokyo,0.0,0.0
ring of kerry,ring merry,0.0,0.0
Oman,man,0.0,0.0
Visit every continent,every continent,0.0,0.0
Go white water rafting ,white water grafting,0.0,0.0
Go somewhere completely new/foreign on your own. Zero planning (beyond accommodation and visas I guess) and wing it. You'll learn a lot about yourself,somewhere completely newforeign zero planning beyond accommodation isa guess wing you learn lot,0.35,0.7
travel to what excites you,excites,0.0,0.0
Try international cuisine ,try international quinine,0.0,0.0
Go abroad,abroad,0.0,0.0
"Doha, Qatar",dora later,0.0,0.0
Fiordland in New Zealand,fiordland new zealand,0.13636363636363635,0.45454545454545453
A remote beach in southern Thailand ,remote beach southern thailand,-0.05,0.1
Mongolia,magnolia,0.0,0.0
Fjords - any northern nation,ford nation,0.0,0.0
Get immersed in another culture,immersed another culture,0.0,0.0
Visit Paris,paris,0.0,0.0
Visit Taj Mahal,tax mahan,0.0,0.0
Say Yes to life,say yes life,0.0,0.0
Iceland,iceland,0.0,0.0
SE Asia,se asia,0.0,0.0
Visit poor and needy kids,poor needy kid,-0.4,0.6
interact with different cultures than your own. ,interact different culture,0.3,0.8
Hawaii,hawaii,0.0,0.0
Barclona,barclona,0.0,0.0
Tour the national parks,tour national park,0.0,0.0
Hike somewhere beautiful,like somewhere beautiful,0.85,1.0
cliff jump,cliff jump,0.0,0.0
Michaelangelo’s David,michaelangelos david,0.0,0.0
Nepal,near,0.0,0.0
Travel by themselves ,,0.0,0.0
Visit and hike Iceland for two months,like iceland two month,0.0,0.0
Buy a van and cruise the country.,buy van cruise,0.0,0.0
Travel in Asia ,asia,0.0,0.0
A sunrise from the top of a mountain with someone they love,sunrise top mountain someone love,0.5,0.55
Victoria Falls,victoria fall,0.0,0.0
A shark when snorkeling,sharp snorkeling,0.0,0.0
Get high,high,0.16,0.5399999999999999
Visit Italy,italy,0.0,0.0
Travel to a country where you are the minority,minority,0.0,0.0
English countryside,english countryside,0.0,0.0
Live,live,0.13636363636363635,0.5
Climb a pyramid in the Mexican jungle,climb pyramid mexican jungle,0.0,0.0
Live in another country for any period of time.,live another period time,0.13636363636363635,0.5
Santorini ,santorini,0.0,0.0
Night sky on top of a high mountain,night sky top high mountain,0.33,0.52
acatenango in guatemala,acatenango guatemala,0.0,0.0
"actually live somewhere, or at least visit for more than a week. Let normalcy set in. Figure out whether you still love a place one week, two weeks in.",actually live somewhere least week let normally set figure whether still love place one week two week,0.2090909090909091,0.5
Night hike,night like,0.0,0.0
Caribbean blue ocean water. ,caribbean blue ocean water,0.0,0.1
Go to a country where you don't speak the language ,dont speak language,0.0,0.0
iguazu falls,iguazu fall,0.0,0.0
Try everything ,try everything,0.0,0.0
Africa,africa,0.0,0.0
Tajmahal,tajmahal,0.0,0.0
Istanbul,istanbul,0.0,0.0
Japan,japan,0.0,0.0
northern lights,light,0.0,0.0
Eat Thai street food,eat that street food,0.0,0.0
"Phong nha national park, Vietnam ",phone ha national park vienna,0.0,0.0
Travel to a country where you dont speak the language,dont speak language,0.0,0.0
Experience NYC,experience ny,0.0,0.0
Glacier National Park,glacier national park,0.0,0.0
Angkor Wat complex,anger wat complex,-0.3,0.4
Rome,rome,0.0,0.0
Dubrovnik,dubrovnik,0.0,0.0
Travel alone,alone,0.0,0.0
"Depends on the person, for me it was Yosemite NP",depends person yosemite no,0.0,0.0
LSD,led,0.0,0.0
Swim with sharks,swim sharp,0.0,0.0
Great wall,great wall,0.8,0.75
Solo travel somewhere,solo somewhere,0.0,0.0
Eat everything,eat everything,0.0,0.0
Get out of the country,,0.0,0.0
See New York,new york,0.13636363636363635,0.45454545454545453
what they like,like,0.0,0.0
Go somewhere you would normally never go,somewhere would normally never,-0.075,0.6499999999999999
Visit a Unesco World Heritage Site,unesco heritage site,0.0,0.0
Tokyo or any other megacity,tokyo tenacity,-0.125,0.375
New Mexico,new mexico,0.13636363636363635,0.45454545454545453
"Swim in the Caribbean ocean, see the desert in northern Africa and visit Thailand",swim caribbean ocean desert africa thailand,0.0,0.0
Just getting out of their own country. Many ppl don't feel the need. ,getting many pp dont feel need,0.55,0.75
Go to Paris,paris,0.0,0.0
The World,,0.0,0.0
The Sea,sea,0.0,0.0
Iguazu Falls,iguazu fall,0.0,0.0
The world :),,0.5,1.0
Kiev,kiev,0.0,0.0
See Hiroshima and the atomic bomb dome and museum.,hiroshima atomic bomb dome museum,0.0,0.0
"I don't like to suggest ""must sees"" but I can't imagine anyone not enjoying Hoi An Old Town",dont like suggest must see can imagine anyone enjoying how old town,-0.075,0.4
Kilauea,kilauea,0.0,0.0
Disney Land,dinner land,0.0,0.0
See their favourite animal in the wild.,favourite animal wild,0.1,0.4
Belize,beside,0.0,0.0
Dieppe,dimple,0.0,0.0
"Saint Martin, Bangladesh",saint martin bangladesh,0.0,0.0
Havasu Falls,havana fall,0.0,0.0
hogmanay,hogmanay,0.0,0.0
East Africa,east africa,0.0,0.0
Drive a Go-Kart dress in mario kart outfits in Japan! ,drive bogart dress marie part outfit japan,0.0,0.0
Machu Picchu,much pitch,0.0,0.0
Visit Pompeii in Italy,pompeii italy,0.0,0.0
Any form of unexpected culture,form unexpected culture,0.1,1.0
Take a trip anywhere and stay there for at least a week and a half and try to do what locals do. ,take trip anywhere stay least week half try local,-0.23333333333333334,0.2833333333333333
Something kind and selfless for someone else,something kind helpless someone else,0.6,0.9
The Plitvice Lakes in Croatia,plitvice lake croats,0.0,0.0
Have a meal for $1 from a street vendor,meal 1 street vendor,0.0,0.0
African safari,african salary,0.0,0.0
Roundtrip in Iceland,roundtrip iceland,0.0,0.0
Vegas,vera,0.0,0.0
travel as much as possible to non-touristy places,much possible nontouristy place,0.0,1.0
Himalayas ,himalaya,0.0,0.0
Eat food in Italy and Thailand,eat food italy thailand,0.0,0.0
Venice,venice,0.0,0.0
Rome,rome,0.0,0.0
Yosemite,yosemite,0.0,0.0
Travel Solo,solo,0.0,0.0
swiss alps,swiss all,0.0,0.0
"Orgasm, eat Naan, snuggle a soft animal",organs eat nan struggle soft animal,0.1,0.35
Eat an amazing meal that is totally foreign to them,eat amazing meal totally foreign,0.23750000000000004,0.5125
Nepal,near,0.0,0.0
"Anything; just get out of your comfort zone, even if it means traveling 1 city/state/country over!",anything comfort zone even mean traveling 1 citystatecountry,0.0,0.0
Drink beer in Bruges,drink beer brutes,0.0,0.0
No answer,answer,0.0,0.0
Paris,paris,0.0,0.0
Travel solo in a country where they don't speak/little fluency.,solo dont speaklittle fleecy,0.0,0.0
Visit Lauterbrunnen Switzerland,lauterbrunnen switzerland,0.0,0.0
the swiss alps,swiss all,0.0,0.0
Interrail,internal,0.0,0.0
Interrail,internal,0.0,0.0
Travel somewhere significantly different to what you are used to,somewhere significantly different used,0.0,0.6
naked swimming,naked swimming,0.0,0.4
Fly with a significant other,fly significant,0.35000000000000003,0.7166666666666667
skydiving or paragliding ,skydiving paragliding,0.0,0.0
Solo hiking/backpacking ,solo hikingbackpacking,0.0,0.0
Party with locals in South America,party local south america,0.0,0.0
Grand Canyon ,grand canyon,0.5,1.0
Norwegian fjords,norwegian ford,0.0,0.0
Swiss alps,swiss all,0.0,0.0
"Kyoto, Japan",knot japan,0.0,0.0
Just travel somewhere ,somewhere,0.0,0.0
Travel ,,0.0,0.0
Any cruise,cruise,0.0,0.0
Do coke,come,0.0,0.0
travel your own country,,0.6,1.0
Wilderness camping,wilderness camping,0.0,0.0
Caving in Puerto Rico,having porto rico,0.0,0.0
An Eclipse,ellipse,0.0,0.0
Rainforest,rainforest,0.0,0.0
Whatever the hell they want,whatever hell want,0.0,0.0
The jungle in Central America,jungle central america,0.0,0.25
Pompeii,pompeii,0.0,0.0
Drunk polish students,drunk polish student,-0.5,1.0
Wieliczka Salt Mines,wieliczka salt mine,0.0,0.0
Switzerland,switzerland,0.0,0.0
Milford Sound,guilford sound,0.4,0.4
Road to Hana - Maui,road hand may,0.0,0.0
Hanoi traffic,hand traffic,0.0,0.0
Camping in the mountains,camping mountain,0.0,0.0
Camping in the mountains,camping mountain,0.0,0.0
"Paragliding, it frees you",paragliding free,0.0,0.0
Get out of your comfort zone at least 1st,comfort zone least st,-0.3,0.4
Paris ,paris,0.0,0.0
Enjoy life,enjoy life,0.4,0.5
Uluru (Ayers Rock),lure layers rock,0.0,0.0
Go to a different country (any) and eat as much local cuisine as possible. ,different eat much local quinine possible,0.0,0.5333333333333333
Africa,africa,0.0,0.0
Paris,paris,0.0,0.0
Sunrise at Machu Picchu,sunrise much pitch,0.0,0.0
Arenal in Costa Rica,arena costa rich,0.0,0.0
Petra,petya,0.0,0.0
San Sebastian,san sabastiani,0.0,0.0
Hug someone they love.,hug someone love,0.5,0.6
Running with the bulls in Pamplona,running bull pamplona,0.0,0.0
Whatever they want to do the most.,whatever want,0.5,0.5
Hanami in Kyoto,panama knot,0.0,0.0
Go where they want to go,want,0.0,0.0
Caravaggio artwork in Florence,caravaggio network florence,0.0,0.0
Step outside your comfort zone.  Go somewhere that terrifies you. ,step outside comfort zone somewhere terrified,0.0,0.05
Concentration Camps,concentration camp,0.0,0.0
Petra,petya,0.0,0.0
Paris,paris,0.0,0.0
Go to Italy and eat the food,italy eat food,0.0,0.0
Not any one in particular.,one particular,0.16666666666666666,0.3333333333333333
Wander the streets of Paris,wander street paris,0.0,0.0
Please visit Bhutan ,please human,0.0,0.0
rome,rome,0.0,0.0
NYC,ny,0.0,0.0
Alps,all,0.0,0.0
Grand Canyon,grand canyon,0.5,1.0
Travel as much as possible ,much possible,0.0,1.0
Bush Alaska + Northern lights,bush alaska light,0.0,0.0
get caught in a downpour int he middle of nowhere,caught downpour in middle nowhere,0.0,0.0
Learn a new language,learn new language,0.13636363636363635,0.45454545454545453
Botswana,botswana,0.0,0.0
West Highland Line in Scotland,west highland line scotland,0.0,0.0
Tropical sunset,tropical sunset,0.0,0.0
aurora borealis,aroma dorsalis,0.0,0.0
Climb a vulcano,climb volcano,0.0,0.0
Stay with a family you've never met,stay family you never met,0.0,0.0
Visit/leave the (next) closest big city,visitleave next closest big city,0.0,0.05
Longji Rice Terraces,long rice terrace,0.0,0.0
Northern Lights,light,0.0,0.0
Try the street food wherever you are.,try street food wherever,0.0,0.0
duomo in Florence,domo florence,0.0,0.0
Rome,rome,0.0,0.0
Galapagos,galapagos,0.0,0.0
"Visit Santorini, Greece ",santorini greece,0.0,0.0
siem reap,seem reap,0.0,0.0
plitvice lakes,plitvice lake,0.0,0.0
Alaskan Wilderness ,alaskan wilderness,0.0,0.0
whatever make them happy,whatever make happy,0.8,1.0
N/A - Don't think it's reasonable to have a single recommendation,na dont think reasonable single recommendation,0.0642857142857143,0.40714285714285714
The Northern Lights,light,0.0,0.0
Their homeland,holland,0.0,0.0
Going to Corsica. Beach or he 20 everyone got some fun,going corsican beach 20 everyone got fun,0.3,0.2
Venice at night,venice night,0.0,0.0
Outside of your daily,outside daily,0.0,0.025
Travel somewhere you don't speak the language by yourself and see how truly kind the human race really is,somewhere dont speak language truly kind human race really,0.26666666666666666,0.39999999999999997
